toegangsnummer,titel
207,Vereniging Openbare Speelplaatsen en ABLO
208,Amsterdams Genootschap ter bevordering Koepokinenting
209,A. Ingwersen
210,Vereniging Afschaffing Alcoholhoudende Dranken
211,Maatschappij tot Nut van het Algemeen
212,Specerijen Fronenbroeck en Van Naarden
213,Evangelisch-Lutherse Gemeente
214, Evangelisch-Lutherse Synode
215,Familie Ter Meulen
217,Begraafplaats Rustoord te Diemerbrug
223,C. van Rij
224,Oudercommissie der Meerhuizenschool
225,Familie Heshuysen
226,Familie Hooft
228,Union Vrouwelijk Huispersoneel
230,Willem Otto Brooks
231,Huis Marquette
232,Waarborg tegen Brandschade Roerende Goederen
233,Lunchroom en Bodega Maison Koomen
234,Familie Deutz
235,Dr. W. de Vlugt
236,Familie Clifford
237,Familie Elias
238,Familie Van Lennep
239,Mr.W.F.van Leeuwen en P.A.Waller
246,Binnendijkse Buitenvelderse Polder
248,Sloterdijkermeerpolder
255,Familie De Clercq
258,Marnixschool
263,Plaatselijke Schoolcommissie en rechtsopvolger
265,Bestuur der Stadstekenacademie
275,Stadsdrukkerij en Weduwenfonds
278,Curatoren van het Athenaeum
281,Universiteit Amsterdam: Rector en Assessoren
282,Orde Hoogleeraren Athenaeum
287,Familie Kam
288,Gezelschap Michelangelo Buonarotti
289,Instituut van Directeuren
291,Architectenbureau Baanders
292,Familie Hasselaer
296,Jean Malherbe en Cristina van Steensel
297,Arbeidersklasse
300,Familie Goedkoop-Vis
301,
302,
303,
305,Doopsgezinde Zending
306,Mr. A.J. d'Ailly
307,Comité van Jachthoorn tot Kampvuur
308,Familie Kat
309,W. Holtrop en J.S van Esveld Holtrop
312,Gemeentelijk Bureau Amsterdam helpt Arnhem
313,Familie van Someren Brand
314,Cornelis Schrijver
316,Amsterdamsche Kanaalmaatschappij
317,Gemeente energiebedrijf: Stukken Luchtbescherming
318,
319,Familie Sweers
320,Jan Theunisse de Jonge
321,Bestuur Inrichting Examineren van Varenslieden
322,Kamers van Arbeid te Amsterdam
323,Maatschappij Nut Algemeen: Departement Amsterdam
324,Familie Steenhoff-Verburg
325,Feestgebouw Bellevue
326,Hersteld Evangelische - Lutherse Kerk
327,Evangelisch-Luthers Seminarium
328,Lutkemeerpolder
329,Hervormde Gemeente te Sloten
331,VVHK te Amsterdam
332,Familie De Vogel
333,Holland Land Company
334,Portugees-Israëlietische Gemeente
335,Stadswaterkantoor
337,Gemeente Watergraafsmeer
338,Ransdorp
339,Gemeente Buiksloot
341,Gemeente Sloten
342,Gasthuizen
343,Aalmoezeniersweeshuis
344,Inrichting Stadsbestedelingen
345,Tuchthuis
347,Spin- en Nieuwe Werkhuis
348,Armenhuis
349,Huiszittenhuis
350,Burgerlijk Armbestuur
351,Duinwater Maatschappij
352,Vereniging aanleg Vondelpark
354,Stadsschouwburgmaatschappij
355,Fonds gewapende dienst
359,J.W.C. Tellegen
360,Johannes Philippus Mannetter
361,Hervormde Gemeente Buiksloot
362,Schuttersraad
363,Garde Soldee
364,Gewapende Burgerwacht
366,Gilden en Brouwerscollege
368,Bank van Leening
369,"St.Jorishof, Leprozen-, Oude Mannen-& Vrouwengasthuis"
372,Vereniging Hulp voor Onbehuisden
374,Familie Kruimel
375,W.J.R. Dreesmann
376,Kerkenraad Hervormde Gemeente
377,Hervormde Gemeente: Diaconie
379,Nederlandse Hervormde Kerk Classis Amsterdam
381,Evangelisch-Lutherse Gemeente Diakonie
382,Familie Van Hall
383,Amsterdamse Politie Mannenkoor Euterpe
384,Meta Kehrer
386,Gemeenschap voor Doopsgezind Broederschapswerk
388,Hervormde Gemeente Amsterdam-West en rechtsvoorganger
393,Vereeniging Volkszang
394,Familie Boissevain en aanverwanten
395,Artis
398,Weesperkarspel en Bijlmermeer
399,Familie Westerman
400,Sociale Raad
404,v. Brants-Rus Hofje / Christoffel van Brants
406,Bonebakker
411,Centrale Keuken
415,Verenigde Polders
423,Familie Allebé
424,Bond van Volkstuinders
425,Heemraadschap De Buikslotermeer met rechtsvoorganger
426,Familie Hooft Graafland
427, V.V.D. Afdeling Amsterdam
428,Vereenigd Beheer
431,Stichting Amsterdam-Rijnkanaal 1952
432,"Parochie Heilige Ignatius, Zaaier"
433,Franciscus van Assisië ('t Boompje)
434,Parochie Heilige Anna (de Pool)
435,Parochie Willibrordus buiten de Veste
436,Parochie van de Heilige Willibrordus binnen de Veste
437,Parochie Nicolaas binnen de Veste
438,Parochie Heilige Dominicus
439,Regenten Burger Oude-mannenhuis
440,R.K. Oude-Armenkantoor en Bejaardenhuis Sint Jacob
441,R.K. kerk de Posthoorn
442,Parochie Franciscus Xaverius
443,Parochie van de Heilige Nicolaas en Barbara
444,Parochie heilige Catharina
445,Parochie van Onze Lieve Vrouw van Lourdes
446,Diaconieweeshuis der Hervormde Gemeente
447,Handelshuis Van Eeghen en Co.
448,Koninklijke Turnvereniging Olympia
453,Doopsgezinde Jongeren Bond
457,Familie De Jongh
458,Commissie voor het Stadsschoon
459,Commissie Toezicht en Advies Schilderijen
471,Commissie Nijverheid en Bedrijven
475,Cie. Van Advies Gemeentelijke Bad- en Wasinrichtingen
483,Begraafplaats Huis te Vraag
488,Maagdenhuis en het Sint Nicolaas gesticht
489,KARZV De Hoop
490,Commissarissen over het Raadhuis
491,College Zeemanshoop
494,Familie Ten Broeke
498,Familie Van Eeghen
499,Amstelodamum
500,Synodale Fonds/Liefdefonds Evang. Lutherse Gem.
502,Oppercommissarissen Havendienst
504,Hofjes de Eendracht en de Noteboomen Uitkijk
506,De Collegiantenkas
508,Hervormde Gemeente te Durgerdam
509,Stichting Zorg en Bijstand
511,Sint Jozef Gezellenvereniging
512,Heeg en Köster
513,Groote Ijpolder
514,
516,Vereniging tot Weldadigheid
517,Jan Abraham van Rijn van Alkemade
518,Familie Van Hoorn
519,Kerkelijk ontvanger Hervormde Gemeente
520,Familie Alberdingk Thijm
522,Prof. Dr. W.J. Kooiman
523,Alphonse Fermin jr. CV
524,Hoogheemraadschap van de Watergraafsmeer
527, Dr. P.J. Koets
532,Familie De Voogt
534,Wijnand Fockink
535,Faddegon en Co.
537,Amstelhof
538,Gem. commissie Heemkennis met rechtsvoorganger
539,Modemagazijnen Gebroeders Gerzon
542,Parochie Heilige Augustinus
549,Pakhuismeesteren van de Thee
550,Blauwhoedenveem-Vriesseveem
551,Observatiehuis voor Jongens Amsterdam
552,Nederlandsch Luthersch Genootschap
555,Parochie van de Heilige Augustinus te Nieuwendam
556,Assurantie Companie van 1771 N.V.
557,Assurantiebezorgers De Vos en Zoon
560,Brand Maatschappij te Amsterdam van 1790
561,Zee- en Brand Assurantie Maatschappij van 1820
562,Assurantiebezorgers Wed. J. van Bosse en Zoon
572,Pijnappel-Menso en Advocaat Mr. M.J. Pijnappel
580,Algemene Maatschappij van Levensverzekering
581,Onderlinge Brandwaarborg Maatschappij Unitas
582,Holland-La Plata Hypotheekbank
583,Ontvangst en Betaalkas
584,Handels- en Cultuurmaatschappij Van Heekeren en Co.
586,Handel in Pantserplaten Hutheco Holland N.V.
587,Drukkerij De Industrie
589,Gebroeders Teixeira de Mattos
590,Oliefabrieken Insulinde
591,Werkspoor N.V. en voorganger
592,Commissiehandel Kerkhoven & Co.
595,Oostersche Hypotheekbank
598,"Koffiehandel Hofmann, Schöffer & Co."
599,Handelshuis Stadnitski en Van Heukelom
600,Firma Ketwich & Voomberg
609,Firma H.G. TH. Crone
610,Familie von der Crone
611, Maatschappij tot Bevordering der Toonkunst
612,Remonstrantse Gemeente
620,De Roever
621,Marmerwerken Weegwijs
623,Gerrit van der Veen Scholengemeenschap
625,Handelsdrukkerij Holdert & Co.
628,Stichting Het Amsterdamse Luchtbeschermingsfonds
629,Wering van Schoolverzuim in Resort V te Amsterdam
633,Teixeira de Mattos
635,Brandweer: films
636,Nederlandse Lutherse Jeugdbond
639,Hollandsche Assurantiekantoor en Scheepsverbandmij.
641,Zee Assurantie Compagnieschap
646,Louis Bienfait & Soon
647,"Kooplieden,Scheepsreders en Boissevain & Cco."
648,Firma Meursing
649,Zijderederij Lacoste
650,Algemene Maatschappij voor Handel en Nijverheid
651,Amsterdamsch Petroleum-Entrepot
653,Meekrapfabriek Mendel Bour en Co.
654,"Crommelin en Soonen, Tutein Nolthenius en De Haan"
655,P.W. Janssen en Rechtsvoorganger
656,Commissionairs in Granen
657,Tabakshandel Hünger en Co.
659,Zuidvruchten en Specerijen Kirberger en Co.
661,Commissiehandel E.J. Potgieter
664,V.A . Sijbouts
666,Makelaardij in Specerijen W.F. Westerman & Co.
667,Wed. C.H. Fischer en Zoon
668,Bouwmaatschappij Concordia
669,Inter.Tuinbouwtentoonstelling in 1877 en 1885
670,De Kleine Courant
671,Het Volksdagblad
672,H.T. de Groot
673,Mr. L.Keyzer
675,Bankiers- en Familiezaken Sillem
680,Aero- en Hydroplanie Robur
681,Koninklijke Academie Beeldende Kunsten
682,Centraal Bond Inwendige Zending & Chr. Maatsch. Werk
684,Sociëteit de Groote Club Doctrina et Amicitia
688,Parochie Heilige Antonius van Padua (Mozes en Aaron)
689,A. Oznowicz
691,Memoriemeesters Oude St. Nicolaaskerk
692,Ir. W.A.E. van Geuns
693,Nederlandse Orkeststichting
697,Maatschappij tot Redding van Drenkelingen
698,Jhr. H. Teding van Berkhout
700,Anslo Hofje
