toegangsnummer,titel
1366,A.F.C. Ajax
1369,Desi von Saher-von Halban
1371,Stichting Erefonds voor Oud-Verpleegsters
1372,Vereniging voor Woningopzichteressen
1379,Nieuw Israëlitisch Weekblad
1380,Buurtgroep Uilenburg-Rapenburg-Valkenburg
1381,"Effectenkantoor Alsberg, Goldberg en Co."
1382,Bredero-Herdenking 1968 en 400 jaar Bredero
1384,"Studieclub voor Oog-, Zenuw- en Oorheelkunde"
1385,Amsterdamse Ijzer- en Staalhandel Bernet&Co
1386,Bols
1387,Olympisch Stadion
1388,Schaakvereniging De Raadsheer
1389,Bruikleen Ontvangen Stukken van Rijksarchief Haarlem
1390,De Blindenpenning
1393,Studentendispuut W.I.T.I.A.N.
1394,A.M. Dellemijn
1395,Dr. Jan Waterink Stichting
1396,Schade Enquête Commissie Amsterdam
1397,Stichting Het Rembrandthuis
1398,Amsterdamse Natuurhistorische  Raad
1399,Koninklijke Nederlandse Natuurhistorische Vereniging
1400,Firma Mastenbroek
1401,Amsterdamsche Brand Sociëteit
1405,Woningbouwvereniging Het Oosten
1406,Bond van Amsterdamse Zangverenigingen
1407,Nederlands Israëlitisch Kerkgenootschap
1408,Carolina Eitje
1411,Bouwvereniging Rochdale
1412,Nederlands Israelitisch Seminarium
1414,Collectie Vlaming-Schoemaker
1415,Stichting Aristoteles
1416,Rederij Goedkoop
1417,Verschure en Co. en Oranjewerf
1419,Café Restaurant De Posthoorn
1420,Diamanthandel- en slijperij Struch
1421,Stichting Stuwkracht 10
1423,De Booij
1424,Platform Binnenstad Autovrij
1425,Kunsthandel en Familie Houthakker
1427,Roggebroodfabriek H.C. Funke en Zoon
1428,Voetbalvereniging De Meer
1429,Prot. Christ. Stichting voor verpleging van bejaarden
1430,Amsterdamse Museumkring van Moderne Kunsten
1431,Centrumbank en rechtsvoorganger
1432,KVP-kring en CDA-fractie
1433,Van Brienens Hofje De Star
1434,ETS
1435,Familie Westerwoudt
1436,Familie Lanz
1440,Dr. Gehrels Instituut
1441,Architectenbureau Weber
1442,Vereniging Snelle Afwerking van Karwijzaadcontracten
1443,Hou en Trou
1444,Bewonersgroep Oostelijk Havengebied
1446,Hydrobiologische Vereniging
1447,Stichting Phia Berghout
1452,Sint Ignatiuscollege
1454,Amsterdams Boten Comité
1455,Bank Insinger
1456,Johan .F.J. Schamp
1457,Stichting voor Economisch Onderzoek
1458,Familie van Renterghem
1459,Familie Van Braam Houckgeest
1460,J. Schram
1463,Misjpoge
1465,G.A.Verweij
1466,Van der Klugt
1467,Centrale Coöperatie voor Zuivelprodukten te Amsterdam
1468,Familie Buyck
1470,Familie van Rensselaer Bowier
1471,Actiecomité Behoud Klok Bonifactiuskerk
1474,Amsterdamse Huisartsen Vereniging
1476,Westersch-Literarisch Gezelschap V.N.I.C.A.
1477,Familie Van Gelder de Neufville
1479,Familie Kalff
1480,Firma I. Goldschmidt en Zonen en rechtsopvolgers
1482,Wim Polak
1483,Architectenbureau Husslage
1484,Van Lier
1485,Buurtgroep ARM-slag
1487,Buurtvereniging Weesperzijdestrook
1490,Comité Behoud Weilandje Vrije Geer
1491,"Amsterdams Volksdanscentrum ""Klank en Beweging"""
1493,Advocatenkantoor Trenité van Doorne
1494,Coöperatieve Verbruiksvereniging Eigen Hulp
1495,Vereniging voor Gezondheids- en Vacantie Kolonies
1496,Broodwinkel in de Runstraat
1497,Hausemann & Hötte
1499,Van de Poll-Wolters-Quina Stichting
1500,Wijkopbouworgaan Oud-West
1501,Familie Grewel
1502,MR'70/Rutgershuis
1503,P.G. Rueter
1504, Familie Verrijn Stuart
1505,M. Goudeket en H. Goudeket-Kats
1506,Amstel Brouwerij
1510,Johan Polak
1511,ATKB Hongerstakende Vrouwelijke Witte Illegalen
1512,Amsterdamsch Conservatorium
1513,Familie van Orsoy/Haasbaart
1514,J.W. Jutte
1515,Kunstenstad Amsterdam
1516,Pieter van Leeuwen
1517,Organisatie van Marokkaanse Vrouwen Amsterdam
1518,Comité Gümüs Moet Blijven
1520,Van Vollenhoven
1521,Roxy
1522,Architectenbureau Kuipers
1523,Bouwvereniging Wilskracht
1524,A. ter Borch en Zoonen
1525,Collectie ir. J. Bardet: windmolens
1526,Collectie ir. J. Bardet: sluizen
1527,Amsterdamse Cricketbond
1529,Werkgroep Frederiksplein
1530,J.M. Manders
1531,Amsterdam met Hart en Ziel
1532,Herinnering Plan-Zuid
1533,Stedelijk Initiatiefcomité Kinderopvang
1536,Nederlandse Amateur Fotografen Vereniging
1537,Funenkoor
1538,Jacob Olie Jbz
1540,"Antilliaans-Arubaans Inloophuis ""Sembra"""
1541,J. en C.W. de Wijn
1542,P.A.L.L.A.S.
1543,Familie van Elst
1544,Scheepsbouwwerf Kersch
1545,Nicaragua Komitee Amsterdam
1546,Doopsgezinde Historische Kring
1547,Herman Musaph
1550,Benno Premsela
1551,"KvM, MTS ""A"" en VMNO"
1552,Th. Schweiger
1554,Collectie Douwe Egberts
1555,Symphonie Orkest Con Brio
1556,Dispuutgezelschap N.I.S.I.T.A.
1557,De Lofstem
1558,Prijsvraag Een lied voor Amsterdam
1559,St. Moskee Vinkenstraat
1560,Natuurhistorische Vereniging
1564,Stichting WK Voetbal Amsterdam
1566,Projectbureau Multiculturalisatie Emancipatie
1569,Schaakvereniging 'Door Combinatie Groot'
1571,
1582,CBTB Amstelveen
1587,H.M.L. Nieuwer-Amstel
1588,H.M.L. Ouder-Amstel
1589,H.M.L. Diemen en Watergraafsmeer
1590,Rk. L.T.B. Afd. Ouderkerk ad Amstel
1591,Rk. L.T.B. Afdeling Nieuwer-Amstel
1592,W. Verburg sr.
1593,Collectie Familie Hoffman
1594,H.J. Scharp
1595,Familie Scharp
1596,H. van den Berg
1598,J.L.E. Hermanns
1602,Zangvereniging Cantus et Amicitiae en Het Bloemenkoor
1604,G.P. Haspels
1606,Verzameling J. Groesbeek
1610,C.J. Heeren
1614,"Collectie Stichting IJbeeld, foto's"
1615,Collectie Oebele Boersma
1617,Bouwmaatschappij Het Hoekje
1619,Herinneringen Oost
1621,Koninklijke Emballage Industrie Van Leer
1622,Vereniging van Handelaren in Hang- en Sluitwerk
1623,Stichting Forsa
1624,Stichting Volksherstel Amsterdam
2023,ASJ - AW
3008,Gemeentelijke Dienst Volkshuisvesting
4007,Collectie Frits Weeda
4344,Burgerweeshuis: nieuw archief
5000,Bevolkingsregister
5001,"Doop-, Trouw- en Begraafboeken"
5005,Stadssecretaris
5006,Bevolkingsregister: Buurtringregisters
5007,Bevolkingsregister
5008,Geannexeerde Gemeenten: bevolkingsregisters
5009,Burgerlijke Stand
5011,Grondpapieren
5012,Secretarie: Militaire Zaken
5013,De schutterij: Wijkboeken
5014,Burgemeesters: stadsrekeningen
5015,Genealogie-handschriften
5016,Aanspreekregisters
5020,Burgermeesters: Privilegeboeken en keurboeken
5021,Burgemeesters: stadspublicaties
5022,Burgermeesters: publicaties staten generaal
5023,Burgemeesters: Groot-Memoriaal
5025,Vroedschap: resoluties met munimenten
5026,Burgemeesters: Missiven aan Burgemeesters
5027,Burgemeesters: gezanten en residenten
5028,Burgemeesters: verscheidene onderwerpen
5030,Burgemeesters: betref. lands- en gewestelijk bestuur
5031,Burgemeesters: Stukken betreffende Ambten en Officiën
5033,Burgemeesters poorterboeken
5034,"Burgemeesters: Attestatie, Certificatie en Affirmatie"
5035,Burgemeesters: Procuratiën van binnen en buiten
5037,Burgemeesters:octrooien Staten Holland West Friesland
5038,Burgemeesters: resoluties van de Staten van Holland
5039,Thesaurieren Ordinaris
5040, Stadsfabriekambt en Stadswerken en Stadsgebouwen
5041,Rekenkamer of College van de Rekenmeesters
5043,Stads Belening Kamer
5044,Thesaurieren Extraordinaris
5045,Ontvangst 100e en andere penningen
5046,Ontvangst 20e penning op collaterale successie
5047,40e/80e PENNING
5049,Heren/koffie/theegeld
5051,burgemeesters: peilboekjes dranken zout en gemaal
5052,gemene landsmiddelen en de imposten
5053,Nieuw Stedelijk Bestuur
5054,Burgermeesters: charters IJzeren Kapel
5057,Collectie Op straatnaam geordende charters
5058,Burgemeesters: van kerken en kloosters
5059,Collectie Handschriften
5061,Schout en Schepenen
5062,Schepenen: kwijtscheldingsregisters
5063,Schepenen: register van schepenkennissen
5064,Schepenen: register verbonden goederen en transporten
5065,"Schepenen: rentebrieven, los- en lijfrenten"
5068,Burgemeesters: willige verkopingen
5069,Burgemeesters: verkopingen koopmanschappen makelaars
5070,Burgemeesters: verkopingen houtwaren door makelaars
5071,Burgemeesters: scheepsverkopingen door makelaars
5072,Commissarissen van de Desolate Boedelkamer
5073,Weeskamer
5074,Rechtbank van Eerste Aanleg en van Koophandel
5075,Notarissen ter Standplaats Amsterdam
5077,Wisselbank
5078,Commissie van Liquidatie van de Wisselbank
5079,Gemeenteraad
5080,Commissie Verzoekschriften
5081,"Cie. voorbereiding aanvragen pensioen, wachtgeld enz."
5084,Commissie Bijstand Beheer Gemeente Financiën
5085,Amortisatiefonds
5086,Cie. Beheer over Stedelijke Rentegevende Eigendommen
5087,Cie. Bijstand voor Publieke werken
5088,Cie.Bouw en Exploitatie van de Nieuwe Beurs
5089,Commissie Bouwverordening
5091,Commissie Strafverordening
5092,Cie. Beheer Gemeentelijke Telefoondienst
5094,"Cie. Beheer veemarkt, Abattoir en Vismarkt"
5095,Cie. Beheer Waterverzorging
5096,Commissie Bijstand Statistiek
5097,Cie. Gemeentelijke Gasfabrieken
5098,Commissie Beheer Gemeentebedrijven
5099,Cie. Beheer Gemeente Waterleidingen
5102,Commissie Volkshuisvesting
5103,Cie. Gemeente Woningen
5104,"Cie.Levensmiddelen,wasch-,bad & Zweminrichtingen"
5105,Cie. bijstand Sociale Zaken
5106,Cie. Beheer Stadsreiniging
5107,Cie. Geneeskundige Dienst
5108,Cie. Geldelijke Steun Bijzondere Scholen
5109,Cie. Beheer Zaken van Onderwijs
5110,Commissie Stadsschouwburg
5111,Commissie van Kunst
5112,Cie. Herziening Lijsten Kiesgerechtigden
5113,Cie. Herziening Reglement van Orde
5114,Cie. Onderzoek Beschuldigingen Middestandspartij
5115,Cie.Verhouding Abrahams tot Vereniging Trein
5116,Cie. Herziening Recognities Ambtenaren
5117,Cie. Regeling Rechtstoestand Gemeenteambtenaren
5118,Cie.Salarisherz.niet Behorende tot Gem.secretarie
5119,Commissie Stadsfinanciën
5120,Cie. Plan Amortisatiefonds
5121,Cie. Vermindering Schuld Amsterdam
5122,Cie. Onderzoek Begroting 1827
5123,Cie.Ontwerpen Reglementen Amortisatiefonds
5124,Commissie Accijnsen en Belastingen
5125,Cie.Liefdadige- en gesubsidieerde Gestichten
5126,Cie. Herziening Plaatselijk Belastingstelsel
5127,Cie. Tekort door Wegvallen Accijnsen
5128,Commissie Conversieplan
5129,Cie. Herziening Erfpachtstelsel
5130,Cie. Nazien Gemeenterekeningen
5131,Cie. Onderzoek Erfpacht
5132,Commissie IJ- en Havenwerken
5133,Commissie Beursgebouw
5134,Cie. Branden in Kalverstraat en Stadsschouwburg
5135,Commissie Taptoeschandaal
5136,Commissie Prostitutie
5137,Cie. Kanaalvaart en het IJ
5138,Commissie Afdamming Het IJ
5139,Commissie Reglementherziening Makelaars
5140,Cie.Vervoervaart van Stad naar Tolhuis
5141,Commissie van Onderzoek van de Stadsdrukkerij
5142,Cie. Advies ontwerp Havenreglement
5143,Cie. Amsterdamsche Courant na Ontslag S.Vissering
5144,Cie. Invloed Opheffing verbod Laden/Lossen
5145,Cie. Voortzetting Amsterdamsche Courant
5146,Cie. Behoud of Afschaffing Broodzetting
5147,Commissie Tramwegaanvragen
5148,Cie. Onderzoek Conflict Gemeente Electriciteitswerken
5149,Cie. Stationnerende Garage- Taxibedrijf
5150,Cie.Voortbestaan Burgerweeshuis
5151,Cie. Concept- Reglement Armbestuur
5152,Cie. Geneeskundige Armenzorg
5154,Cie. Reorganisatie Burgerlijk Armbestuur
5155,Commissie 3500 Woningplan
5156,Cie. Wel/Niet Keuren Anjovis
5157,Cie. Gebruik Carbolzuur bij Vee
5158,Cie. Plan Reinhouding wateren van Amsterdam
5160,Cie. Reorganisatie Latijnse Scholen
5161,Cie.Onderzoek Te Bespelen Toneel In Stadsschouwburg
5162,Cie. Regeling Lager Onderwijs Amsterdam
5163,Universiteit Amsterdam: Commissie Kosten
5164,Cie. Festiviteiten Prinselijk Paar Amsterdam 1816
5165,Cie.Plechtige Doorschutting Doorvaart Oosterdoksluis
5166,Burgemeesters en Wethouders
5167,Archief van de Burgemeester
5168,Kabinet van de Burgemeester
5172,Commissie Exploitatie Koffiekamer Stadhuis
5174,Algemene Secretarie en Arbeidszaken
5175,Pensioenbureau
5176,Burgerlijke Stand en Bevolkingsregister
5177,Secretarie: afdeling Financiën
5178,Secretarie: afdeling Belastingen
5179,Commissaris over de Publieke Werken
5180,Publieke Werken
5181,Secretarie: afdeling Algemene Zaken
5182,Secretarie: afdeling Militaire Zaken
5183,Secretarie: afdeling Economische Zaken
5184,Secretarie: afdeling Gemeentebedrijven
5185,Bureau voor Statistiek
5186,Afdeling Sociale Zaken
5188,Secretarie: afdeling Levensmiddelen
5190,Secretarie: afdeling Openbare Gezondheid
5191,Secretarie: afdeling Onderwijs
5192,Secretarie: afdeling Kunstzaken
5193,Bureau PPV
5194,Dienst Gemeentelijke Personeelsvoorziening
5195,Gemeentelijk Scheidsgerecht
5199,Centrale Commissie voor Georganiseerd Overleg
5202,Cie. van Beroep ex. art. 70 Ambtenarenreglement
5213,Dienst der Publieke Werken
5214,Stadsingenieur
5216,Commissie Bouw Nieuw Stadhuis en Juries prijsvragen
5217,Commissies van Onderzoek Paleis-Raadhuis Kwestie
5220,"Rooimeesters, later Bouwopzichters"
5223,Gemeentelijk Bureau voor de Wederopbouw
5225,Gemeentepolitie
5227,Luchtbeschermingsdienst
5229,Gemeentelijk Bureau Inkwartiering
5231,Bureau Loonbetaling
5236,Gemeente Arbeidsbeurs
5238,Gemeente Girokantoor
5240,Dienst Handelsinrichtingen
5241,Commissie Ontwerpen Havenreglement Oosterdok
5244,Levensmiddelenraad
5246,Centrale Voorzieningsdienst en rechtsvoorganger
5248,Gemeentelijke Gasfabrieken
5252,Gemeente Vervoerbedrijf
5253,Gemeentewaterleidingen
5254,Cie. van Advies inzake de Handelsbetrekkingen
5256,Gemeentelijke Sociale Dienst
5257,Distributiebureau en de Distributiedienst
5259,Tijdelijk Gemeentelijk Lompenbedrijf
5261,Cie. Advies Broodbakkersbedrijf
5263,Cie. Gemeentelijke Armenzorg
5264,Cie. van Toezicht Inrichting voor Stadsbestedelingen
5265,Commissie Volkstuinen
5266,Plaatselijk Schoolmelk Comité
5267,GG&GD
5268,Gemeenteziekenhuizen
5269,Gezondheidscomissie
5275,Veemarkt en het Abattoir
5276,Gemeentelijke Archiefdienst
5278,Bezuinigingscie. Bezuinigingen Stadsschouwburg
5279,Toneelcie. Toestandverbetering Toneel
5280,Cie. Onderzoek Plannen Amsterdamse Groote Schouwburg
5281,Cie.Vakopleiding Jeugdige Arbeiders
5282,"Dienst Was-, Schoonmaak-, Bad- en Zweminrichtingen"
5287,Kamer van Koophandel en Fabrieken voor Amsterdam
5289,Keuringsdienst van Waren
5293,Gemeentelijke Woningdienst
5296,Gemeentelijke Telefoondienst
5302,Dienst Gem. Verenigingsgebouwen en rechtsvoorgangers
5304,Gemeentelijke Accountantsdienst
5305,Strafcommissie Taxi- en Huurautochauffeurs
5306,Bestuurscontacten
5311,Gem. Inspectie Lichamelijke Opvoeding
5315,Stichting Vluchthaven
5318,Centrale Verkeerscommissie
5330, De Nederlandse Scheepvaartbeweging in 1778
5339,Bewegwijzering en Huisnummering Bijlmermeer
5340,"Financiën, en cie.voor Ziekenhuis en Armenverzorging"
5341,Cie. Bestrijding Geslachtsziekten
5342,Commissie Entgemeenschap Amsterdam
5343,Cie. Behoefte Onderzoek Ziekenhuisruimte
5345,Dienst Bescherming Bevolking
5348,Economische Patiëntenplaatsing Gemeenteziekenhuizen
5349,Cie. Advies Archiefordening Diensten en Bedrijven
5350,Buiksloterhampolder
5351,Cie. Onderzoek Begrotingspositie Amsterdam
5352,Stichting Gooisch Natuurreservaat
5353,Commissie Onderzoek Dienst WSBZ
5354,Cie. Schoonmaakdienst Glazenwasserij en Stoffeerderij
5355,Cie. Onderzoek Exploitatie Gemeentelijke Wasserij
5356,Rijksbureau Aardolieprodukten Amsterdam
5357,UvA: Faculteit Politieke en Sociale Wetenschappen
5358,Kadaster
5359,Cie. Practische Apothekersexamens
5360,Amsterdamse Congresdienst
5361,Stadswerken en Gebouwen
5362,Huurcommissies
5367,Dienst voor de Sport: personeelsdossiers
5368,Gemeentelijk Bureau voor de Bouwnijverheid
5370,Grondbedrijf
5371,Commissie Rioleering en Waterverversching
5376,Coördinatiecie. Ontwikkeling Zuid Oost Lob
5383,40e Penning over Verkoop van Schepen
5384,"Collectie S. Hart: impost, verpondingen, belastingen"
5394,Eigendomsbewijzen
5399,UvA: subfaculteit Biologie
5400,Gemeente Energie Bedrijf
5401,Kunstraad
5403,Nieuwer-Amstel/b/w/ dossiers
5407,Palmschool en haar rechtsvoorgangers
5408, Werkloosheidscommissies
5412,Projectgroep Stadsvernieuwing Oud-West / Kinkerbuurt
5413,Uriniorcommissie en Cie. Straatmeubilair
5414,Inspectie Repatrieeringswerkzaamheden
5416,Bevolkingsregister
5417,Bevolkingsregister: Woningboeken
5418,"Dienst Musea voor Moderne Kunsten, afdeling B.K.B."
5419,Projectgroep De Pijp
5423,Burgerlijke Stand Buiksloot
5424,Bugelijke Stand van de gemeente Buiksloot
5427,Burgerlijke Stand van de Gemeente Nieuwendam
5429,Burgerlijke Stand Ransdorp
5431,Gemeente Sloten
5432,Burgerlijke Stand gemeente Sloten
5435,Burgerlijke Stand Weesperkarspel
5436,Straatnamencommissie
5437,Oltazam
5438,Burgerlijke Stand van de Gemeente Schellingwoude DTB
5441,Monumenten subsidies Tekeningen
5443,Begeleidingscommissie Van Tellingen
5444,Dienst Stedelijk Beheer
5445,Bevolkingsregister Woningkaarten
5447,Deutsches Standesamt Amsterdam
5448,Bevolkingsregister: Joodse oorlogsslachtoffers
5458,DOW
5459,Procuwu
5464,BWT: dossiers gesloopte panden Stadsdeel Oost
5466,Vossius Gymnasium
5469,City Link Sarajevo
5471,Secretarie: afdeling Bestuursinformatie
5473,Onderwijs
5474,Secretarie Afdeling Coördinatie Stadsvernieuwing
5475,"Afd. Verkeers(bureau),Commissie Verkeer en Vervoer"
5478,Pedagogische Academie Basisonderwijs
5482,Secr.Afd.Economische Zaken en Haven
5483,Secretarie Afdeling Sport en Recreatie
5484,Secretarie: Bureau Coördinatie Vrouwenemancipatie
5491,Secretarie: Afdeling Sociale Zaken
5494,CAPZ
5496,Raad voor het Verkeer
5499,Gemeentelijk Allochtonenoverleg
5500,Ouder-Amstel
5502,Gemeente Nieuwer-Amstel
5503,Amstelveen: Bevolkingsregister
5505,Gemeente Amstelveen: Burgerlijke Stand
7175,
10001,Collectie Atlas Splitgerber
10002,Documentaire Foto-opdrachten
10003,Collectie Foto's
10004,Historische foto-opdrachten
10005,Collectie Kabinetfoto's
10007,Collectie Stereofoto's
10008,Gemeentelijke Dienst Grondbedrijf: foto's
10009,DRO en rechtsvoorgangers: foto's
10014,Collectie A.C.B. Heynert
10015,Collectie C. Deenik
10017,Collectie A.M.J. Hendrichs
10018,Collectie Frits Knuf
10019,Jacob Olie
10020,Collectie E.M. van Ojen
10023,Rijtuigfabriek Gebroeders Spijker: beeldmateriaal
10024,Collectie Sem Presser
10025,Collectie F.J. Rotgans
10026,Atelier Th.M. Spiekerman v/h Van den Berg
10028,G.L.W. Oppenheim
10031,Burgerwijkkaarten
10032,Kaarten Gebieden Buiten Amsterdam
10033,Kaarten Stadsgedeelten
10034,Kaartboeken
10035,Kaarten Geheel Amsterdam
10036,"Gemeente Waterleidingen, kaarten en dwarsprofielen"
10039,"Kaart van Amsterdam, Schaal 1:1.000, PW"
10040,Dienst Bouw- en Woning Toezicht: Kaarten
10041,Kaarten 1:10.000 PW
10042,Kaarten Topografische Dienst schaal 1:50.000
10043,Collectie Negentiende Eeuwse Buurtatlaskaarten
10046,Colectie SAA: Kaarten van Amsterdam schaal 1:2000
10048, Dienst Openbare Werken 1:5.000
10049, Kaarten Topografische Dienst 1:10.000
10050,Kaarten Topografische Dienst schaal 1:25.000
10051,Kaarten 1:25.000 uit de Bonne-serie (1866-1990)
10053,Waterstaatskaarten NL 1:50.000
10054,Albums
10055,Collectie Van Eeghen: Tekeningen
10056,Bouwtekeningen
10057,Centraal Tekeningen Archief
10059,Collectie Jan Galman: Bouwtekeningen
10061,Werkspoor: bouwtekeningen
10062,Commissie voor de Tekeningen
10063,Tholens & van Steenhardt Carré
10065,Waalsch Hervormde Gemeente: bouwtekeningen
10068,Collectie Jan Schiet
10070,Bouwcommissie Nederlands-hervormde Gemeente
10071,Fotografisch Atelier A. Favier
10072,Deenik & Zn: bouwtekeningen
10074,Collectie Jan de Meyer
10075,O. Bunjes en Zn: BT
10084,Otto Jaring: bouwtekeningen
10085,Architectenbureau De Klerk: bouwtekeningen
10092,Collectie G.J. Schuur
10093,Evangelisch-Lutherse Gemeente
10094,Collectie Atlas Dreesmann
10095,Collectie Atlas Kok
10097,Tekeningen en Prenten
10104,Collectie G.H. Breitner
10105,Collectie N. Bareket
10107,Collectie J. van Dijk
10108,Collectie R.H. Herwig
10109,Collectie affiches
10114,DRO foto's van bruggen
10116,Collectie Frits Weeda
10118,"Collectie Leenheer, Martelhoff, Jansen"
10119,Collectie Peter Alma
10120,Collectie J.H.H. Leonhardt
10122,Foto's eigen fotodienst
10123,Collectie Drukvormen
10128, Luchtfoto's
10131,Collectie Kerbert
10137,Prentbriefkaarten
10145,Collectie Frits Lugt
10151,BWT Gesloopte Percelen
10155, Stadsprofielen
10157,Collectie J.G. Kramer
10158,Collectie D.F. Eberhardt
10160,Collectie Lichtbeelden Instituut
10161,Collectie H.M.J. Misset ('Kist Misset')
10162,Collectie B.W. Stomps
10164,Collectie Atelier J. Merkelbach
10167,Collectie J.S. Meuwsen
10169,Collectie P.H. Bambelt
10170,Collectie G. Hoffman
10173,Collectie Henk Gauw
10176,Collectie Pieter Boersma
10179,NDSM: foto's
10180,Collectie Mark Kolthoff
10181,Collectie Ben Merk
10182,Marjola Kruyt
10183,Collectie J. Wester
10186,Collectie Bernard F. Eilers
10187,Collectie Henry Major: tekeningen
10189,Collectie H.W. van der Hoeven
10192,Zuidas: foto's
10194,Los beeldmateriaal
15000,Hendrichs
15001,Collectie Hartkamp
15004,Fré Cohen
15005,Collectie Meijer
15009,Klein Materiaal
15010,Albert Hahn: boeken en klein drukwerk
15023,Collectie Suikerzakjes
15030,Bibliotheek
20002,Migrantentelevisie
20004,Jan Wiegel: films
20005,P.A.J. Wijnhoff: films
20007,Collectie Amsterdams Stadsjournaal: films
20008,Collectie Klank- en Filmstudio van L.A.F.H. van Wouw
20009,Collectie Rob Zwetsloot
20012,Collectie Leger des Heils: films
20014,Stichting Kerk in Mokum
20016,Holl. Draad- en Kabelfabriek (Draka)
20017,L.R. Krijn: films
20021,B.F. Naezer: audiovisueel materiaal
20022,Collectie J.A. Montijn en L.A.H. Montijn
20024,Collectie B.J.M. van der Kleij
20025,H.J. Stork: geluidsmateriaal
20027,Mieke Krijger
23423,test
30000,Architectenbureau A. van de Pol
30001,Initiatiefcomité Dag van de Zwembadpas
30002,Vereniging van Oud Leerlingen HTS Amsterdam
30004,Secretarie: Kabinet van de Burgemeester
30005,Collectie Martin Wolters
30006,Theosofische Vereniging Nederland
30007,G.J. Nicolaas: fed. Amsterdam van het NIVON
30008,G.J. Nicolaas
30010,Koffie-Handelmaatschappij Matagalpa
30012,Comité 50 jaar Derde H.B.S. Vijf
30014,Sportvereniging Ouderkerk
30015,Christelijk Historisch Kiesvereniging
30016,Ouderkerkse scholen
30017,Niwin-Comité Ouder-Amstel
30018,Niwin-Comité Ouder-Amstel
30019,St. Amstelveense Kunstijsbaan
30021,Gemeentelijk Bureau voor Documentatie en Registratuur
30022,Vereniging Kamer van Koophandel Nederland-Israël
30028,Dienst Marktwezen
30032,Secretarie: Financiën
30037,Stadsschouwburg
30038,Stadsdrukkerij / Gemeentelijk reclamebureau
30039,College van Burgemeester & Wethouders
30041,Stedelijk Museum
30042,G. Duinker
30044,Collectie Kadaster: kaarten
30045,General Accident Fire & Life Assurance Corporation
30047,Sociale Dienst
30049,Blikman & Sartorius
30051,Herdenking Theo van Gogh
30054,Collectie Geluidsmateriaal
30055,Collectie AMS en GSGS
30056,PW: landmeten en kartografie
30057,AT5
30058,Collectie van Embden
30059,Comité geen Bebouwing Olympiaplein
30061,Collectie Unifoto
30062,Bart Huges
30065,Bernard van Leer Foundation
30068,UvA: Faculteit Rechtsgeleerdheid
30074,PW: Afdeling Riolering en Waterverversing
30075,dienst openbare werken. Riool en waterbeheer
30076,Dienst Riolering en Waterhuishouding
30080,Gemeentelijke Dienst Volkshuisvesting
30081,Gemeentelijke Dienst Volkshuisvesting
30082,Vereniging voor Openbaar Onderwijs
30083,OMEGAM
30088,Pieter Delbeek en Zoon
30091,Holland Beker
30092,Amstels Gymnastiek-Vereeniging
30099,Paul Wilking (Pistolen Paultje)
30104,Stichting Nederlandse Opera gevestigd in Amsterdam
30105,Familie Oosterhuis-Van Bemmel
30106,Bouwonderneming Willemspark
30109,Amsterdams Opera Koor
30110,Geschiedenisdragers/Migrantenerfgoed
30112,Jongerencentrum De Vuurtoren
30114,UvA: Faculteit Economie
30117,Vereniging Ziekenverpleging
30119,KALO
30121,Bureau voor Handelsinlichtingen
30122,Familie De Leeuw
30123,Cor Goudriaan
30124,SOLAS
30125,Comité 'Ons GVB geen NV'
30126,Rembours- en Industriebank
30127,Mi Oso es Mi Kas
30128,Sigarenmagazijn De Vijzel
30129,Cirurgijns Weduwenfonds
30130,St. Hulp aan Marokkaanse Jongeren
30131,Anthony Theater
30132,Amsterdams Centrum Buitenlanders
30137,Herman Diederiks
30140,GG&GD: directie
30145,Artisten Reünie Club
30148,Gemeente Ouder-Amstel
30149,Firma P.J. Brancart en Zonen
30151,Firma J. & J. Vinke
30152,Rokingroep
30153,Crommelin
30157,A.T.C. Donald Duck
30164,Specerijhandel H. Diepgrond
30165,Raad voor de Stadsontwikkeling
30166,N.V. Werk
30168,Dienst Bouw- en Woningtoezicht
30173,Amsterdamse Raad voor de Monumentenzorg
30174,Collectie RKD: G.H. Breitner
30176,Familie Alberti
30179,Centraal Milieulaboratorium
30181,R. Beeldsnijder
30183,Collectie Fotokaarten
30184,Dienst der Havens en Handelsinrichtingen
30185,Gemeentelijk Havenbedrijf
30186,GG&GD
30187,Dienst Marktwezen: marktkaarten
30188,Votiefkerk Christus Koning
30190,Amsterdamse Bos
30192,Vereeniging Huisverzorging
30193,Schubert Orkestvereniging
30200,Coll: SAA achterstanden affiches
30201,Collectie Familie Oosterhuis
30202,Afgedwaalde Archiefstukken Aangetroffen Amsteldijk
30203,H.Drijfhout & Zoon’s Edelmetaalbedrijven
30204,Johannes Bok
30211,Tapperij Janmaat
30212,Karl Schouyten
30213,Salomon van Son
30220,"Oost en West, afd. Amsterdam"
30222, materiaal Sectie Presentatie
30223,UvA: Faculteit Psychologie
30224,UvA: Faculteit Scheikunde
30228,Collectie Digitaal Geboren
30230,Collectie Nico
30231,Brieuc-Yves Cadat
30232,VAC Amstelveen
30234,Collectie J. Meyer
30238,Archiefkaarten
30241,Collectie Fotografica
30242,Samenwerkingsprojekt Spaarndammer- en Zeeheldenbuurt
30243,D. van Commenée
30248,Vereniging Amsterdamse Haven
30249,Johan Krop
30250,H. Mohrmann
30252,Ontwikkeling A'dam Havengebied
30254,Frans Panholzer
30256,Achterstanden bibliotheek
